Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
29.684074, -9.100374, -98.774475, 1.225526, 494.368530 
16.160486, -19.442455, -98.904388, 1.095609, 631.330322 
-33.916611, -2.223547, -98.740715, 1.259289, 620.220825 
-39.203411, -14.168114, -98.859825, 1.140176, 617.298096 
-39.098122, -24.204752, -98.851028, 1.148976, 623.851257 
-41.137089, -13.061319, -98.819504, 1.180497, 765.877991 
-14.712732, -18.838684, -98.993866, 1.006132, 618.588440 
-38.078094, 0.746154, -98.835670, 1.164327, 478.765045 
-21.149918, -17.303808, -98.235672, 1.764323, 645.005615 
10.124901, 10.613414, -98.983696, 1.016303, 478.984528 
-45.302601, -14.040098, -98.942230, 1.057776, 476.000549 
-35.174232, -20.317297, -98.523170, 1.476832, 636.294128 
2.562259, -12.890069, -98.150764, 1.849220, 510.557983 
-40.326408, -6.650734, -98.371132, 1.628870, 542.169189 
-43.303997, -20.053556, -98.375458, 1.624543, 632.886841 
-10.707785, -14.542683, -98.984161, 1.015837, 472.241425 
-29.935740, -1.677767, -98.153709, 1.846288, 672.553345 
-38.883755, -7.783957, -98.134079, 1.865924, 784.186279 
-41.943066, -7.586507, -98.149414, 1.850581, 658.612671 
11.349937, -19.428988, -98.789169, 1.210827, 774.917786 
-20.757256, -18.111771, -98.651703, 1.348291, 634.142944 
1.163166, -14.098644, -98.906570, 1.093436, 476.781281 
-26.827930, -10.166920, -98.115784, 1.884224, 649.566223 
-33.448200, -18.663944, -98.445686, 1.554319, 489.327667 
-23.651194, -9.483740, -98.270645, 1.729366, 643.264404 
-16.577715, -22.075548, -98.883881, 1.116125, 628.601318 
-7.998048, -8.375149, -98.863045, 1.136959, 617.893677 
-18.376274, -13.031699, -98.611069, 1.388930, 638.488220 
-35.637543, -16.156027, -98.068390, 1.931610, 497.136688 
-41.799011, -15.194052, -98.631958, 1.368039, 482.284790 
-36.583469, -17.313692, -98.038452, 1.961551, 499.728180 
-38.506149, -17.976566, -98.473923, 1.526077, 631.779480 
54.661156, 1.871672, -98.956055, 1.043945, 483.839447 
-42.962585, -14.997749, -98.516136, 1.483866, 484.799713 
-30.104261, -13.602848, -98.116592, 1.883407, 502.456573 
-13.930840, -22.001972, -98.495377, 1.504621, 492.202179 
-36.522724, -12.645512, -98.848816, 1.151184, 620.669434 
24.237713, -23.451015, -98.917938, 1.082065, 767.653442 
-33.668823, -4.858251, -98.256287, 1.743711, 511.476196 
-38.673046, -22.131332, -98.191818, 1.808180, 638.078247 
-42.534569, -12.809488, -98.128265, 1.871735, 642.467041 
-47.029160, -16.052668, -99.015617, 0.984376, 620.725098 
-39.201420, -19.656109, -98.572578, 1.427423, 483.605255 
-16.030548, -16.466406, -98.611122, 1.388876, 482.480774 
6.324229, -14.816904, -98.772957, 1.227046, 638.436890 
17.299826, -7.654126, -98.996277, 1.003716, 474.197083 
-26.346720, -13.161171, -98.277596, 1.722407, 650.406189 
17.786591, -9.749603, -98.764954, 1.235040, 500.827393 
-41.564472, -13.395092, -98.059456, 1.940545, 789.160889 
-19.991385, -13.231516, -98.619873, 1.380130, 485.769012 
-21.958317, -16.804701, -98.691345, 1.308661, 488.716705 
-28.991203, -24.898815, -98.076241, 1.923768, 494.996155 
-40.978226, -2.629943, -98.035522, 1.964478, 679.414368 
-16.731699, -11.621796, -98.965981, 1.034019, 479.888519 
0.509351, -10.095037, -98.729469, 1.270537, 488.272034 
-35.887657, -18.441839, -98.374550, 1.625448, 635.213135 
-14.860905, -19.570362, -98.885696, 1.114310, 763.756836 
-37.082664, -4.536719, -98.218163, 1.781832, 528.286682 
-40.793396, -29.398039, -98.272980, 1.727020, 778.122986 
-18.316233, -0.740632, -98.248344, 1.751661, 658.486145 
40.527420, -13.096952, -98.891502, 1.108491, 487.935211 
-10.507113, -15.702025, -99.035942, 0.964062, 471.598877 
-28.575487, -14.678160, -98.146301, 1.853710, 496.814026 
-45.153683, 6.905157, -98.771332, 1.228669, 621.825500 
21.508945, -19.366655, -98.792618, 1.207378, 487.639526 
-43.729347, -15.677279, -98.283752, 1.716252, 784.229492 
-2.258093, -0.511066, -98.458618, 1.541374, 493.381622 
-33.748501, -24.839642, -98.676529, 1.323467, 481.124512 
-13.014205, -23.725506, -98.535187, 1.464817, 486.692413 
-18.597973, -5.880427, -98.878868, 1.121136, 617.359741 
-34.932800, -2.344912, -98.136543, 1.863458, 515.528992 
-47.897770, -15.498052, -98.507210, 1.492792, 488.941956 
24.688643, -7.008817, -98.842636, 1.157367, 797.004578 
17.253523, -8.836551, -98.343933, 1.656062, 496.873077 
-33.814037, -8.989523, -98.262665, 1.737330, 783.744690 
-5.264259, -15.656278, -98.319366, 1.680637, 499.806610 
-5.805552, -12.003145, -98.581474, 1.418523, 647.367615 
-38.730907, -18.484802, -98.532837, 1.467168, 629.115234 
-4.732841, 2.124744, -98.866714, 1.133283, 627.908142 
-25.757221, -18.211781, -98.643661, 1.356345, 484.290833 
-41.812283, -19.932726, -98.457359, 1.542634, 774.925659 
-19.034491, -1.689936, -98.569763, 1.430235, 481.107361 
-25.790005, -18.678520, -98.949760, 1.050241, 472.847534 
-23.537682, -6.590097, -98.086723, 1.913276, 657.447510 
-32.962952, -9.760089, -98.333946, 1.666058, 939.665894 
-30.388205, -4.675725, -98.625565, 1.374425, 485.083923 
-41.532402, -1.667681, -98.106827, 1.893170, 520.295837 
24.998360, -16.496090, -98.553589, 1.446409, 491.531952 
